MultiUAV-002.txt:	 MOTA: 0.970981,	 IDF1: 0.877027,	 FP: 96, 	 FN:642,	 SW:43
MultiUAV-007.txt:	 MOTA: 0.981677,	 IDF1: 0.904683,	 FP: 25, 	 FN:497,	 SW:25
MultiUAV-009.txt:	 MOTA: 0.962017,	 IDF1: 0.921654,	 FP: 12, 	 FN:283,	 SW:10
MultiUAV-010.txt:	 MOTA: 0.972533,	 IDF1: 0.971935,	 FP: 23, 	 FN:76,	 SW:4
MultiUAV-013.txt:	 MOTA: 0.804604,	 IDF1: 0.815482,	 FP: 567, 	 FN:159,	 SW:4
MultiUAV-031.txt:	 MOTA: 0.978400,	 IDF1: 0.989315,	 FP: 81, 	 FN:0,	 SW:0
MultiUAV-039.txt:	 MOTA: 0.969675,	 IDF1: 0.879943,	 FP: 85, 	 FN:659,	 SW:50
MultiUAV-041.txt:	 MOTA: 0.929829,	 IDF1: 0.897709,	 FP: 285, 	 FN:1539,	 SW:18
MultiUAV-043.txt:	 MOTA: 0.880190,	 IDF1: 0.779483,	 FP: 485, 	 FN:2608,	 SW:52
MultiUAV-046.txt:	 MOTA: 0.959390,	 IDF1: 0.904648,	 FP: 220, 	 FN:828,	 SW:18
MultiUAV-053.txt:	 MOTA: 0.978514,	 IDF1: 0.949238,	 FP: 41, 	 FN:514,	 SW:9
MultiUAV-065.txt:	 MOTA: 0.964491,	 IDF1: 0.819659,	 FP: 239, 	 FN:503,	 SW:43
MultiUAV-067.txt:	 MOTA: 0.923695,	 IDF1: 0.878803,	 FP: 143, 	 FN:246,	 SW:10
MultiUAV-070.txt:	 MOTA: 0.943232,	 IDF1: 0.907072,	 FP: 86, 	 FN:1342,	 SW:42
MultiUAV-071.txt:	 MOTA: 0.980656,	 IDF1: 0.946102,	 FP: 219, 	 FN:275,	 SW:9
MultiUAV-075.txt:	 MOTA: 0.986454,	 IDF1: 0.898733,	 FP: 118, 	 FN:215,	 SW:21
MultiUAV-076.txt:	 MOTA: 0.960152,	 IDF1: 0.957034,	 FP: 662, 	 FN:376,	 SW:8
MultiUAV-085.txt:	 MOTA: 0.983048,	 IDF1: 0.968415,	 FP: 265, 	 FN:176,	 SW:4
MultiUAV-086.txt:	 MOTA: 0.935366,	 IDF1: 0.929869,	 FP: 926, 	 FN:762,	 SW:8
MultiUAV-088.txt:	 MOTA: 0.988305,	 IDF1: 0.993742,	 FP: 111, 	 FN:195,	 SW:1
MultiUAV-094.txt:	 MOTA: 0.983227,	 IDF1: 0.922834,	 FP: 148, 	 FN:261,	 SW:27
MultiUAV-096.txt:	 MOTA: 0.968529,	 IDF1: 0.924035,	 FP: 328, 	 FN:493,	 SW:5
MultiUAV-104.txt:	 MOTA: 0.971530,	 IDF1: 0.864320,	 FP: 132, 	 FN:524,	 SW:37
